"Source.Name","Fecha","Hora","Temp1 (C)","Hum1 (%)","Temp2 (C)","Hum2 (%)"
"dht22_2025-08-15.csv","8/15/2025","9:00:08 AM","24.4","86.7","24.5","91.7"
"dht22_2025-08-15.csv","8/15/2025","9:05:08 AM","25.1","84.6","25.3","89.7"
"dht22_2025-08-15.csv","8/15/2025","9:10:09 AM","25.2","84.4","25.4","89.7"
"dht22_2025-08-15.csv","8/15/2025","9:15:09 AM","25.2","83.9","25.4","89"
"dht22_2025-08-15.csv","8/15/2025","9:20:10 AM","25.3","83.8","25.4","89.4"
"dht22_2025-08-15.csv","8/15/2025","9:25:10 AM","25.4","83.5","25.5","89.3"
"dht22_2025-08-15.csv","8/15/2025","9:30:11 AM","25.4","84.1","25.6","90.1"
"dht22_2025-08-15.csv","8/15/2025","9:35:11 AM","25.5","83.8","25.6","90"
"dht22_2025-08-15.csv","8/15/2025","9:40:12 AM","25.5","84.3","25.6","90.1"
"dht22_2025-08-15.csv","8/15/2025","9:45:12 AM","25.5","83.2","25.7","89"
"dht22_2025-08-15.csv","8/15/2025","9:50:13 AM","25.6","83.7","25.8","90.6"
"dht22_2025-08-15.csv","8/15/2025","9:55:13 AM","25.8","84.7","25.9","90.4"
"dht22_2025-08-15.csv","8/15/2025","10:00:14 AM","25.8","83.7","26","90.1"
"dht22_2025-08-15.csv","8/15/2025","10:05:14 AM","25.9","82.4","26","89.7"
"dht22_2025-08-15.csv","8/15/2025","10:10:15 AM","26","82.8","26.1","90.3"
"dht22_2025-08-15.csv","8/15/2025","10:15:15 AM","26","82.4","26.1","87.8"
"dht22_2025-08-15.csv","8/15/2025","10:20:16 AM","26","81.1","26.1","87.7"
"dht22_2025-08-15.csv","8/15/2025","10:25:16 AM","26.1","83.1","26.2","90.3"
"dht22_2025-08-15.csv","8/15/2025","10:30:17 AM","26.1","81.8","26.2","88.3"
"dht22_2025-08-15.csv","8/15/2025","10:35:17 AM","26.1","81.8","26.2","88.2"
"dht22_2025-08-15.csv","8/15/2025","10:40:18 AM","26.3","82.7","26.3","89.7"
"dht22_2025-08-15.csv","8/15/2025","10:45:18 AM","26.4","80.6","26.5","86.4"
"dht22_2025-08-15.csv","8/15/2025","10:50:19 AM","26.5","81.8","26.5","88.7"
"dht22_2025-08-15.csv","8/15/2025","10:55:19 AM","26.8","78.4","26.7","86.1"
"dht22_2025-08-15.csv","8/15/2025","11:00:20 AM","26.9","77.3","26.8","83.5"
"dht22_2025-08-15.csv","8/15/2025","11:05:20 AM","27","78.4","26.9","82.9"
"dht22_2025-08-15.csv","8/15/2025","11:10:21 AM","26.9","78.7","26.9","84.7"
"dht22_2025-08-15.csv","8/15/2025","11:15:21 AM","27.2","79.2","27","84.4"
"dht22_2025-08-15.csv","8/15/2025","11:20:22 AM","27.5","74.8","27.3","78.9"
"dht22_2025-08-15.csv","8/15/2025","11:25:22 AM","27.3","73.2","27.2","76.6"
"dht22_2025-08-15.csv","8/15/2025","11:30:23 AM","27.6","73.3","27.4","78"
"dht22_2025-08-15.csv","8/15/2025","11:35:23 AM","27.3","76.4","27.2","81.5"
"dht22_2025-08-15.csv","8/15/2025","11:40:24 AM","27.1","77.9","27.1","83.4"
"dht22_2025-08-15.csv","8/15/2025","11:45:24 AM","27.2","78.2","27.2","83.4"
"dht22_2025-08-15.csv","8/15/2025","11:50:25 AM","27.2","79.2","27.1","84.7"
"dht22_2025-08-15.csv","8/15/2025","11:55:25 AM","27.3","79.5","27.1","85.3"
"dht22_2025-08-15.csv","8/15/2025","12:00:26 PM","27.2","77.5","27.1","83.4"
"dht22_2025-08-15.csv","8/15/2025","12:05:26 PM","27.2","79.7","27.1","85.2"
"dht22_2025-08-15.csv","8/15/2025","12:10:27 PM","27.1","78.7","27.1","82.9"
"dht22_2025-08-15.csv","8/15/2025","12:15:27 PM","27.1","79.1","27","83.8"
"dht22_2025-08-15.csv","8/15/2025","12:20:28 PM","27.1","74.5","27","78.9"
"dht22_2025-08-15.csv","8/15/2025","12:25:28 PM","27.1","76","27","81.5"
"dht22_2025-08-15.csv","8/15/2025","12:30:29 PM","27","76.9","27","82.6"
"dht22_2025-08-15.csv","8/15/2025","12:35:30 PM","27","78","26.9","83.2"
"dht22_2025-08-15.csv","8/15/2025","12:40:30 PM","26.9","78.3","26.9","83.9"
"dht22_2025-08-15.csv","8/15/2025","12:45:31 PM","26.9","77","26.9","81.1"
"dht22_2025-08-15.csv","8/15/2025","12:50:31 PM","26.9","77.8","26.9","82.2"
"dht22_2025-08-15.csv","8/15/2025","12:55:32 PM","26.9","77.1","26.9","81.5"
"dht22_2025-08-15.csv","8/15/2025","1:00:32 PM","27","77.4","27","81.5"
"dht22_2025-08-15.csv","8/15/2025","1:05:33 PM","27","76.5","27","81.7"
"dht22_2025-08-15.csv","8/15/2025","1:10:33 PM","26.9","75.6","27","79.8"
"dht22_2025-08-15.csv","8/15/2025","1:15:34 PM","27","75.9","27","79.7"
"dht22_2025-08-15.csv","8/15/2025","1:20:34 PM","27.1","76.2","27.1","79.8"
"dht22_2025-08-15.csv","8/15/2025","1:25:35 PM","27.1","75.5","27","79"
"dht22_2025-08-15.csv","8/15/2025","1:30:35 PM","27","76.6","27","81.1"
"dht22_2025-08-15.csv","8/15/2025","1:35:36 PM","27","76.6","27","82.3"
"dht22_2025-08-15.csv","8/15/2025","1:40:36 PM","26.9","76.4","27","81"
"dht22_2025-08-15.csv","8/15/2025","1:45:37 PM","27","75.4","26.9","79.1"
"dht22_2025-08-15.csv","8/15/2025","1:50:37 PM","27.1","71","27","73.8"
"dht22_2025-08-15.csv","8/15/2025","1:55:38 PM","27","73.4","27","77.2"
"dht22_2025-08-15.csv","8/15/2025","2:00:38 PM","27","72.6","27","75.9"
"dht22_2025-08-15.csv","8/15/2025","2:05:39 PM","27","72","27","76.3"
"dht22_2025-08-15.csv","8/15/2025","2:10:39 PM","26.9","72.3","27","75"
"dht22_2025-08-15.csv","8/15/2025","2:15:40 PM","27","72","27","76.6"
"dht22_2025-08-15.csv","8/15/2025","2:20:40 PM","26.9","73.2","26.9","76.7"
"dht22_2025-08-15.csv","8/15/2025","2:25:43 PM","26.9","72.8","27","77.6"
"dht22_2025-08-15.csv","8/15/2025","2:30:43 PM","26.9","72.6","27","76.4"
"dht22_2025-08-15.csv","8/15/2025","2:35:44 PM","27","72","27","75.8"
"dht22_2025-08-15.csv","8/15/2025","2:40:44 PM","27.1","72.7","27","75.9"
"dht22_2025-08-15.csv","8/15/2025","2:45:45 PM","27.2","71.5","27.1","75"
"dht22_2025-08-15.csv","8/15/2025","2:50:46 PM","27.4","70.4","27.3","73.3"
"dht22_2025-08-15.csv","8/15/2025","2:55:46 PM","27.5","70","27.3","72.3"
"dht22_2025-08-15.csv","8/15/2025","3:00:47 PM","27.5","68.8","27.3","71.3"
"dht22_2025-08-15.csv","8/15/2025","3:05:47 PM","27.4","70.1","27.4","73.8"
"dht22_2025-08-15.csv","8/15/2025","3:10:48 PM","27.5","71.9","27.3","76.2"
"dht22_2025-08-15.csv","8/15/2025","3:15:48 PM","27.4","73.7","27.3","78"
"dht22_2025-08-15.csv","8/15/2025","3:20:49 PM","27.5","74.2","27.3","78.5"
"dht22_2025-08-15.csv","8/15/2025","3:25:49 PM","27.5","74.8","27.4","78.5"
"dht22_2025-08-15.csv","8/15/2025","3:30:50 PM","27.5","74","27.5","78.9"
"dht22_2025-08-15.csv","8/15/2025","3:35:50 PM","27.6","74.9","27.4","79.8"
"dht22_2025-08-15.csv","8/15/2025","3:40:51 PM","27.6","75.7","27.5","81"
"dht22_2025-08-15.csv","8/15/2025","3:45:51 PM","27.5","76.2","27.4","80.3"
"dht22_2025-08-15.csv","8/15/2025","3:50:52 PM","27.5","77.5","27.4","82.2"
"dht22_2025-08-15.csv","8/15/2025","3:55:52 PM","27.5","77.1","27.4","82.2"
"dht22_2025-08-15.csv","8/15/2025","4:00:53 PM","27.5","77.6","27.4","82.5"
"dht22_2025-08-16.csv","8/16/2025","9:00:05 AM","23.9","90.7","23.8","95.1"
"dht22_2025-08-16.csv","8/16/2025","9:05:06 AM","23.6","91.8","23.7","95.7"
"dht22_2025-08-16.csv","8/16/2025","9:10:06 AM","23.7","91.9","23.8","95.8"
"dht22_2025-08-16.csv","8/16/2025","9:15:07 AM","23.7","91.9","23.8","95.7"
"dht22_2025-08-16.csv","8/16/2025","9:20:07 AM","23.7","91.9","23.9","95.7"
"dht22_2025-08-16.csv","8/16/2025","9:25:08 AM","23.7","91.8","23.9","95.6"
"dht22_2025-08-16.csv","8/16/2025","9:30:08 AM","23.8","91.8","23.9","95.5"
"dht22_2025-08-16.csv","8/16/2025","9:35:09 AM","23.6","91.3","23.7","95.1"
"dht22_2025-08-16.csv","8/16/2025","9:40:09 AM","23.7","91","23.8","94.6"
"dht22_2025-08-16.csv","8/16/2025","9:45:10 AM","23.7","90.4","23.8","93.8"
"dht22_2025-08-16.csv","8/16/2025","9:50:10 AM","23.8","90.7","23.9","94.1"
"dht22_2025-08-16.csv","8/16/2025","9:55:11 AM","23.7","90.3","23.8","93.7"
"dht22_2025-08-16.csv","8/16/2025","10:00:11 AM","23.7","90.4","23.8","94.1"
"dht22_2025-08-16.csv","8/16/2025","10:05:12 AM","23.8","90.9","23.9","94.5"
"dht22_2025-08-16.csv","8/16/2025","10:10:12 AM","23.7","91","23.8","94.6"
"dht22_2025-08-16.csv","8/16/2025","10:15:13 AM","23.8","90.6","23.9","94"
"dht22_2025-08-16.csv","8/16/2025","10:20:13 AM","23.7","90.6","23.7","94.4"
"dht22_2025-08-16.csv","8/16/2025","10:25:14 AM","23.8","90.7","23.8","94.1"
"dht22_2025-08-16.csv","8/16/2025","10:30:14 AM","23.6","91","23.7","94.6"
"dht22_2025-08-16.csv","8/16/2025","10:35:15 AM","23.8","91.7","23.9","95.3"
"dht22_2025-08-16.csv","8/16/2025","10:40:15 AM","23.8","91.5","23.9","95.3"
"dht22_2025-08-16.csv","8/16/2025","10:45:16 AM","23.6","90.1","23.8","93.1"
"dht22_2025-08-16.csv","8/16/2025","10:50:16 AM","23.7","89.9","23.8","93.2"
"dht22_2025-08-16.csv","8/16/2025","10:55:17 AM","23.9","91.1","24","95"
"dht22_2025-08-16.csv","8/16/2025","11:00:17 AM","24","91.3","24.1","95"
"dht22_2025-08-16.csv","8/16/2025","11:05:18 AM","24","90.3","24.1","93.7"
"dht22_2025-08-16.csv","8/16/2025","11:10:18 AM","24.1","91.1","24.2","94.8"
"dht22_2025-08-16.csv","8/16/2025","11:15:19 AM","24.3","90.5","24.4","93.9"
"dht22_2025-08-16.csv","8/16/2025","11:20:19 AM","24.3","89.3","24.4","92.9"
"dht22_2025-08-16.csv","8/16/2025","11:25:20 AM","24.4","88.9","24.5","92.6"
"dht22_2025-08-16.csv","8/16/2025","11:30:21 AM","24.3","87.4","24.4","92"
"dht22_2025-08-16.csv","8/16/2025","11:35:21 AM","24.4","88.5","24.5","92.3"
"dht22_2025-08-16.csv","8/16/2025","11:40:22 AM","24.3","86.7","24.4","91.4"
"dht22_2025-08-16.csv","8/16/2025","11:45:22 AM","24.4","86.9","24.5","91.4"
"dht22_2025-08-16.csv","8/16/2025","11:50:23 AM","24.6","87.8","24.6","92"
"dht22_2025-08-16.csv","8/16/2025","11:55:23 AM","24.8","87.3","24.9","91.9"
"dht22_2025-08-16.csv","8/16/2025","12:00:24 PM","24.7","87.4","24.8","91.5"
"dht22_2025-08-16.csv","8/16/2025","12:05:24 PM","24.7","87.1","24.7","91.4"
"dht22_2025-08-16.csv","8/16/2025","12:10:25 PM","24.5","86.6","24.6","91.4"
"dht22_2025-08-16.csv","8/16/2025","12:15:25 PM","24.6","87.6","24.7","91.9"
"dht22_2025-08-16.csv","8/16/2025","12:20:26 PM","24.7","87.4","24.8","91.5"
"dht22_2025-08-16.csv","8/16/2025","12:25:26 PM","24.7","87.6","24.8","91.9"
"dht22_2025-08-16.csv","8/16/2025","12:30:27 PM","24.7","87","24.8","91.4"
"dht22_2025-08-16.csv","8/16/2025","12:35:27 PM","24.7","86","24.8","90.9"
"dht22_2025-08-16.csv","8/16/2025","12:40:28 PM","24.8","86.8","24.9","91.4"
"dht22_2025-08-16.csv","8/16/2025","12:45:28 PM","24.8","86.4","24.9","91.2"
"dht22_2025-08-16.csv","8/16/2025","12:50:29 PM","24.9","86.6","25","91.4"
"dht22_2025-08-16.csv","8/16/2025","12:55:29 PM","24.9","85.8","25","90.8"
"dht22_2025-08-16.csv","8/16/2025","1:00:30 PM","24.9","85.9","25.1","90.7"
"dht22_2025-08-16.csv","8/16/2025","1:05:30 PM","25","87.3","25.2","91.5"
"dht22_2025-08-16.csv","8/16/2025","1:10:31 PM","25","84.5","25.2","90"
"dht22_2025-08-16.csv","8/16/2025","1:15:31 PM","25","85","25.1","90.3"
"dht22_2025-08-16.csv","8/16/2025","1:20:32 PM","24.9","85","25","90.4"
"dht22_2025-08-16.csv","8/16/2025","1:25:35 PM","25.3","85.7","25.4","90.9"
"dht22_2025-08-16.csv","8/16/2025","1:30:35 PM","25.3","85.7","25.4","90.9"
"dht22_2025-08-16.csv","8/16/2025","1:35:36 PM","25.7","84.8","25.7","90.1"
"dht22_2025-08-16.csv","8/16/2025","1:40:36 PM","25.8","84.7","25.8","90.3"
"dht22_2025-08-16.csv","8/16/2025","1:45:37 PM","25.8","84.9","25.7","90.3"
"dht22_2025-08-16.csv","8/16/2025","1:50:37 PM","25.8","85.3","25.8","90.8"
"dht22_2025-08-16.csv","8/16/2025","1:55:38 PM","26.1","85.2","26.2","90.7"
"dht22_2025-08-16.csv","8/16/2025","2:00:38 PM","26.2","84.3","26.2","90.5"
"dht22_2025-08-16.csv","8/16/2025","2:05:39 PM","26.4","84","26.4","90.4"
"dht22_2025-08-16.csv","8/16/2025","2:10:39 PM","26.5","82.2","26.5","88.1"
"dht22_2025-08-16.csv","8/16/2025","2:15:40 PM","26.6","80.4","26.6","86.1"
"dht22_2025-08-16.csv","8/16/2025","2:20:40 PM","26.6","80.2","26.8","85.5"
"dht22_2025-08-16.csv","8/16/2025","2:25:41 PM","26.8","78.5","26.8","83.3"
"dht22_2025-08-16.csv","8/16/2025","2:30:41 PM","26.6","80.5","26.6","86.8"
"dht22_2025-08-16.csv","8/16/2025","2:35:42 PM","26.7","78.3","26.8","83.1"
"dht22_2025-08-16.csv","8/16/2025","2:40:42 PM","26.6","77.5","26.7","80.7"
"dht22_2025-08-16.csv","8/16/2025","2:45:43 PM","26.3","79.6","26.4","85.9"
"dht22_2025-08-16.csv","8/16/2025","2:50:43 PM","26.5","78.7","26.6","82.4"
"dht22_2025-08-16.csv","8/16/2025","2:55:44 PM","26.5","77.8","26.5","83.5"
"dht22_2025-08-16.csv","8/16/2025","3:00:44 PM","26.6","76.8","26.6","82.6"
"dht22_2025-08-16.csv","8/16/2025","3:05:45 PM","26.8","76.3","26.7","79.6"
"dht22_2025-08-16.csv","8/16/2025","3:10:45 PM","26.7","75.2","26.7","78.9"
"dht22_2025-08-16.csv","8/16/2025","3:15:46 PM","26.6","76.8","26.6","80.3"
"dht22_2025-08-16.csv","8/16/2025","3:20:46 PM","26.7","75.5","26.6","79.8"
"dht22_2025-08-16.csv","8/16/2025","3:25:47 PM","26.6","73.8","26.6","77.7"
"dht22_2025-08-16.csv","8/16/2025","3:30:47 PM","26.7","75.8","26.6","80.6"
"dht22_2025-08-16.csv","8/16/2025","3:35:48 PM","26.7","72.9","26.7","77.6"
"dht22_2025-08-16.csv","8/16/2025","3:40:48 PM","26.7","73.4","26.7","78.5"
"dht22_2025-08-16.csv","8/16/2025","3:45:49 PM","26.7","74.6","26.7","79.1"
"dht22_2025-08-16.csv","8/16/2025","3:50:50 PM","26.7","74.2","26.7","79.6"
"dht22_2025-08-16.csv","8/16/2025","3:55:50 PM","26.6","76.1","26.7","80.5"
"dht22_2025-08-16.csv","8/16/2025","4:00:51 PM","26.7","74.2","26.7","78"
"dht22_2025-08-17.csv","8/17/2025","9:00:03 AM","24.4","88.3","24.4","92.6"
"dht22_2025-08-17.csv","8/17/2025","9:05:04 AM","24.4","89.9","24.4","93.3"
"dht22_2025-08-17.csv","8/17/2025","9:10:04 AM","24.3","89.7","24.4","93.3"
"dht22_2025-08-17.csv","8/17/2025","9:15:05 AM","24.3","88.8","24.4","92.7"
"dht22_2025-08-17.csv","8/17/2025","9:20:05 AM","24.3","89.4","24.4","92.9"
"dht22_2025-08-17.csv","8/17/2025","9:25:06 AM","24.4","89.7","24.5","93.1"
"dht22_2025-08-17.csv","8/17/2025","9:30:06 AM","24.5","89.4","24.6","93.1"
"dht22_2025-08-17.csv","8/17/2025","9:35:07 AM","24.6","89.6","24.8","93"
"dht22_2025-08-17.csv","8/17/2025","9:40:10 AM","24.7","88.8","24.8","92.7"
"dht22_2025-08-17.csv","8/17/2025","9:45:10 AM","24.7","88.9","24.8","92.6"
"dht22_2025-08-17.csv","8/17/2025","9:50:11 AM","24.7","88.6","24.8","92.5"
"dht22_2025-08-17.csv","8/17/2025","9:55:11 AM","24.9","89.4","24.9","93.2"
"dht22_2025-08-17.csv","8/17/2025","10:00:12 AM","25","88.1","25.1","92"
"dht22_2025-08-17.csv","8/17/2025","10:05:12 AM","25","88.3","25.1","92.6"
"dht22_2025-08-17.csv","8/17/2025","10:10:13 AM","25","86.1","25.2","91.1"
"dht22_2025-08-17.csv","8/17/2025","10:15:13 AM","25.1","87.5","25.2","92.2"
"dht22_2025-08-17.csv","8/17/2025","10:20:14 AM","25.3","87.3","25.4","91.8"
"dht22_2025-08-17.csv","8/17/2025","10:25:14 AM","25.4","86.8","25.4","91.9"
"dht22_2025-08-17.csv","8/17/2025","10:30:15 AM","25.4","86.3","25.5","91.5"
"dht22_2025-08-17.csv","8/17/2025","10:35:15 AM","25.5","85.1","25.6","90.4"
"dht22_2025-08-17.csv","8/17/2025","10:40:16 AM","25.6","85.6","25.6","91"
"dht22_2025-08-17.csv","8/17/2025","10:45:16 AM","25.7","84.5","25.7","90.2"
"dht22_2025-08-17.csv","8/17/2025","10:50:17 AM","25.7","84","25.8","90.9"
"dht22_2025-08-17.csv","8/17/2025","10:55:17 AM","25.7","84.4","25.7","90.4"
"dht22_2025-08-17.csv","8/17/2025","11:00:18 AM","25.7","83","25.8","90.4"
"dht22_2025-08-17.csv","8/17/2025","11:05:18 AM","25.7","83.8","25.8","89.8"
"dht22_2025-08-17.csv","8/17/2025","11:10:19 AM","25.7","84.1","25.8","90.9"
"dht22_2025-08-17.csv","8/17/2025","11:15:19 AM","25.8","83.7","25.8","89.4"
"dht22_2025-08-17.csv","8/17/2025","11:20:20 AM","25.8","84.5","25.9","90.1"
"dht22_2025-08-17.csv","8/17/2025","11:25:20 AM","26","83.4","25.9","89.9"
"dht22_2025-08-17.csv","8/17/2025","11:30:21 AM","26","83.1","26","90.4"
"dht22_2025-08-17.csv","8/17/2025","11:35:21 AM","26","83.2","26.1","88.3"
"dht22_2025-08-17.csv","8/17/2025","11:40:22 AM","26.2","79.4","26.2","84.3"
"dht22_2025-08-17.csv","8/17/2025","11:45:22 AM","26.2","82.1","26.2","88.6"
"dht22_2025-08-17.csv","8/17/2025","11:50:23 AM","26.3","82.8","26.3","88.8"
"dht22_2025-08-17.csv","8/17/2025","11:55:23 AM","26.3","80.6","26.3","87.3"
"dht22_2025-08-17.csv","8/17/2025","12:00:24 PM","26.3","78.7","26.2","84.3"
"dht22_2025-08-17.csv","8/17/2025","12:05:24 PM","26.3","79.6","26.2","85.7"
"dht22_2025-08-17.csv","8/17/2025","12:10:25 PM","26.3","81.2","26.3","88.3"
"dht22_2025-08-17.csv","8/17/2025","12:15:25 PM","26.3","81.3","26.2","86.8"
"dht22_2025-08-17.csv","8/17/2025","12:20:26 PM","26.3","78.6","26.2","85.7"
"dht22_2025-08-17.csv","8/17/2025","12:25:26 PM","26.3","78.2","26.2","83.5"
"dht22_2025-08-17.csv","8/17/2025","12:30:27 PM","26.2","79","26.2","84"
"dht22_2025-08-17.csv","8/17/2025","12:35:27 PM","26.3","78.5","26.3","83.3"
"dht22_2025-08-17.csv","8/17/2025","12:40:28 PM","26.3","79","26.3","86.1"
"dht22_2025-08-17.csv","8/17/2025","12:45:28 PM","26.4","79.7","26.4","86.4"
"dht22_2025-08-17.csv","8/17/2025","12:50:29 PM","26.4","79.8","26.4","86.4"
"dht22_2025-08-17.csv","8/17/2025","12:55:29 PM","26.5","79.8","26.4","85.3"
"dht22_2025-08-17.csv","8/17/2025","1:00:30 PM","26.5","81.1","26.4","88.4"
"dht22_2025-08-17.csv","8/17/2025","1:05:30 PM","26.5","81.6","26.5","87.1"
"dht22_2025-08-17.csv","8/17/2025","1:10:31 PM","26.5","79.3","26.5","85.7"
"dht22_2025-08-17.csv","8/17/2025","1:15:31 PM","26.5","81.6","26.5","87.9"
"dht22_2025-08-17.csv","8/17/2025","1:20:32 PM","26.5","79.7","26.5","87.3"
"dht22_2025-08-17.csv","8/17/2025","1:25:32 PM","26.5","79.1","26.5","85.2"
"dht22_2025-08-17.csv","8/17/2025","1:30:33 PM","26.5","80.9","26.5","86.5"
"dht22_2025-08-17.csv","8/17/2025","1:35:33 PM","26.5","81.6","26.5","88.3"
"dht22_2025-08-17.csv","8/17/2025","1:40:34 PM","26.5","80.9","26.5","87.6"
"dht22_2025-08-17.csv","8/17/2025","1:45:34 PM","26.5","81.8","26.5","88"
"dht22_2025-08-17.csv","8/17/2025","1:50:35 PM","26.5","82","26.5","88.4"
"dht22_2025-08-17.csv","8/17/2025","1:55:35 PM","26.5","83.3","26.4","89.2"
"dht22_2025-08-17.csv","8/17/2025","2:00:36 PM","26.6","82.9","26.5","89.4"
"dht22_2025-08-17.csv","8/17/2025","2:05:37 PM","26.6","83.2","26.6","89.6"
"dht22_2025-08-17.csv","8/17/2025","2:10:37 PM","26.7","82.4","26.6","89.3"
"dht22_2025-08-17.csv","8/17/2025","2:15:38 PM","26.7","81.1","26.7","87.3"
"dht22_2025-08-17.csv","8/17/2025","2:20:38 PM","26.8","79.8","26.8","87.5"
"dht22_2025-08-17.csv","8/17/2025","2:25:39 PM","26.9","80","26.9","85"
"dht22_2025-08-17.csv","8/17/2025","2:30:39 PM","26.8","78.2","26.8","85.5"
"dht22_2025-08-17.csv","8/17/2025","2:35:40 PM","26.8","80.7","26.7","86.5"
"dht22_2025-08-17.csv","8/17/2025","2:40:40 PM","26.7","80.1","26.6","87.2"
"dht22_2025-08-17.csv","8/17/2025","2:45:41 PM","26.7","81.4","26.6","87.8"
"dht22_2025-08-17.csv","8/17/2025","2:50:41 PM","26.6","82.2","26.5","88.4"
"dht22_2025-08-17.csv","8/17/2025","2:55:42 PM","26.5","80.6","26.5","87.3"
"dht22_2025-08-17.csv","8/17/2025","3:00:42 PM","26.5","81","26.5","90.1"
"dht22_2025-08-17.csv","8/17/2025","3:05:43 PM","26.4","82.6","26.5","90"
"dht22_2025-08-17.csv","8/17/2025","3:10:43 PM","26.4","81.3","26.4","87.4"
"dht22_2025-08-17.csv","8/17/2025","3:15:44 PM","26.4","81.5","26.4","88"
"dht22_2025-08-17.csv","8/17/2025","3:20:44 PM","26.3","81.7","26.3","88.1"
"dht22_2025-08-17.csv","8/17/2025","3:25:45 PM","26.3","81.8","26.3","86.5"
"dht22_2025-08-17.csv","8/17/2025","3:30:45 PM","26.3","82","26.3","88.6"
"dht22_2025-08-17.csv","8/17/2025","3:35:46 PM","26.3","82.5","26.3","88.1"
"dht22_2025-08-17.csv","8/17/2025","3:40:46 PM","26.2","81.5","26.3","86.9"
"dht22_2025-08-17.csv","8/17/2025","3:45:47 PM","26.2","81.7","26.2","87.9"
"dht22_2025-08-17.csv","8/17/2025","3:50:47 PM","26.2","82.7","26.2","87.3"
"dht22_2025-08-17.csv","8/17/2025","3:55:48 PM","26.2","81.8","26.2","87.8"
"dht22_2025-08-17.csv","8/17/2025","4:00:48 PM","26.2","82.1","26.2","87.5"
"dht22_2025-08-18.csv","8/18/2025","9:07:33 AM","25","84","25","90.2"
"dht22_2025-08-18.csv","8/18/2025","9:12:33 AM","25","84.3","25.1","90.6"
"dht22_2025-08-18.csv","8/18/2025","9:17:34 AM","25.1","83.3","25.2","89.1"
"dht22_2025-08-18.csv","8/18/2025","9:22:34 AM","25.2","84.6","25.3","90.2"
"dht22_2025-08-18.csv","8/18/2025","9:27:35 AM","25.2","84.4","25.3","90.2"
"dht22_2025-08-18.csv","8/18/2025","9:32:35 AM","25.2","85.2","25.4","90.8"
"dht22_2025-08-18.csv","8/18/2025","9:37:36 AM","25.4","84.1","25.4","90"
"dht22_2025-08-18.csv","8/18/2025","9:42:36 AM","25.5","84.6","25.5","90.1"
"dht22_2025-08-18.csv","8/18/2025","9:47:37 AM","25.6","84.7","25.6","90.4"
"dht22_2025-08-18.csv","8/18/2025","9:52:37 AM","25.6","85.2","25.7","90.5"
"dht22_2025-08-18.csv","8/18/2025","9:57:38 AM","25.7","84.3","25.7","90"
"dht22_2025-08-18.csv","8/18/2025","10:02:38 AM","25.9","83.5","25.9","89.3"
"dht22_2025-08-18.csv","8/18/2025","10:07:39 AM","26.1","83.1","26","89"
"dht22_2025-08-18.csv","8/18/2025","10:12:39 AM","26.1","83","26.1","88.9"
"dht22_2025-08-18.csv","8/18/2025","10:17:40 AM","26.1","82.4","26.1","87.1"
"dht22_2025-08-18.csv","8/18/2025","10:22:41 AM","26.2","81.9","26.2","88.8"
"dht22_2025-08-18.csv","8/18/2025","10:27:41 AM","26.3","80.7","26.3","87.4"
"dht22_2025-08-18.csv","8/18/2025","10:32:42 AM","26.4","81.2","26.3","88.4"
"dht22_2025-08-18.csv","8/18/2025","10:37:42 AM","26.4","79.8","26.4","86.4"
"dht22_2025-08-18.csv","8/18/2025","10:42:43 AM","26.3","80","26.3","87.1"
"dht22_2025-08-18.csv","8/18/2025","10:47:43 AM","26.2","80.6","26.2","84.6"
"dht22_2025-08-18.csv","8/18/2025","10:52:44 AM","26.2","79.1","26.2","84.5"
"dht22_2025-08-18.csv","8/18/2025","10:57:44 AM","26.1","80.1","26.1","86.1"
"dht22_2025-08-18.csv","8/18/2025","11:02:45 AM","26.2","80.3","26.2","83.1"
"dht22_2025-08-18.csv","8/18/2025","11:07:45 AM","26.3","78.2","26.2","82.7"
"dht22_2025-08-18.csv","8/18/2025","11:12:46 AM","26.4","79.7","26.3","83.2"
"dht22_2025-08-18.csv","8/18/2025","11:17:46 AM","26.4","78.3","26.4","84"
"dht22_2025-08-18.csv","8/18/2025","11:22:47 AM","26.3","78.1","26.3","83.5"
"dht22_2025-08-18.csv","8/18/2025","11:27:47 AM","26.3","78.5","26.2","83.8"
"dht22_2025-08-18.csv","8/18/2025","11:32:48 AM","26.3","76.4","26.3","81.3"
"dht22_2025-08-18.csv","8/18/2025","11:37:48 AM","26.3","76.4","26.2","79.8"
"dht22_2025-08-18.csv","8/18/2025","11:42:49 AM","26.3","77.3","26.2","82.4"
"dht22_2025-08-18.csv","8/18/2025","11:47:49 AM","26.3","77.3","26.2","81.7"
"dht22_2025-08-18.csv","8/18/2025","11:52:50 AM","26.2","77","26.2","82.3"
"dht22_2025-08-18.csv","8/18/2025","11:57:50 AM","26.2","79.2","26.2","83.6"
"dht22_2025-08-18.csv","8/18/2025","12:02:51 PM","26.2","79.5","26.2","84.1"
"dht22_2025-08-18.csv","8/18/2025","12:07:51 PM","26.2","79.6","26.2","85.3"
"dht22_2025-08-18.csv","8/18/2025","12:12:52 PM","26.2","80.8","26.2","86.9"
"dht22_2025-08-18.csv","8/18/2025","12:17:52 PM","26.1","81.6","26.1","86.5"
"dht22_2025-08-18.csv","8/18/2025","12:22:53 PM","26.1","81.1","26.1","87.2"
